"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: N-hum";"Det =: le";"Det =: un-Modif";"N0 faire un N Modif de (le+ce+son) N1";"N0 faire un N Modif de N1";"Det =: un";"N0 faire un N";"Det =: des";"N0 faire des N";"N0 faire du N";"N1 =: Nhum";"N1 =: N-hum";"N0 faire Det N de N1 à N2";"N0 faire Det N à N2";"N0 se faire Det N de N1";"GN =: le N de N0";"GN =: le N de N0 à N2";"GN =: le N de N1";"Exemple Base1";"Exemple Autre1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"79";"37m";"composter";"compostage";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"80";"32a";"construire";"construction";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"81";"37m";"couper";"coupage";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"82";"37e";"couper";"coupe";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"83";"37m";"crépir";"crépissage";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"84";"37m";"creuser";"creusement";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"85";"32r";"crocheter";"crochetage";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"86";"32nm";"cuber";"cubage";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"87";"38l";"cueillir";"cueillette";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"88";"32r";"cultiver";"culture";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"89";"37e";"curer";"curage";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"90";"37m";"daller";"dallage";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"91";"9";"déballer";"déballage";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"92";"37e";"déblayer";"déblayage";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"93";"37e";"déboiser";"déboisement";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"94";"37e";"débroussailler";"débroussaillage";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"~";"~"
"95";"37e";"décanter";"décantation";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"96";"37e";"décaper";"décapage";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"97";"38l";"décharger";"décharge";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"98";"37e";"décharger";"déchargement";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"99";"39";"décoder";"décodage";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"~";"~"
"100";"37m";"décorer";"décoration";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"+";"~";"~"
"101";"37e";"décortiquer";"décorticage";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"102";"4";"décrasser";"décrassage";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"103";"6";"décrypter";"décryptage";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"+";"~";"~"
"104";"37e";"défricher";"défrichage";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"105";"37e";"dégivrer";"dégivrage";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"106";"38l";"déguster";"dégustation";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"107";"3";"délacer";"délaçage";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"108";"32c";"délayer";"délayage";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"109";"37e";"démanteler";"démantèlement";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"110";"19";"démarquer";"démarquage";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"111";"38l";"démouler";"démoulage";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"112";"4";"démystifier";"démystification";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"113";"37e";"dénoyauter";"dénoyautage";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"114";"32h";"dépanner";"dépannage";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"115";"37e";"dépiauter";"dépiautage";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"116";"6";"dépister";"dépistage";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"117";"38l";"déployer";"déploiement";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"118";"37e";"dépouiller";"dépouillement";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"119";"37e";"dépoussiérer";"dépoussiérage";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"120";"37e";"dératiser";"dératisation";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"121";"37e";"dérouiller";"dérouillage";"-";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"122";"2";"descendre";"descente";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"Lola a fait la descente de l'escalier du casino";"~"
"123";"37e";"désherber";"désherbage";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"124";"37e";"désinfecter";"désinfection";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"125";"37e";"détartrer";"détartrage";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"~";"~"
"126";"38l";"détourner";"détournement";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"127";"38l";"dévider";"dévidage";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"128";"32c";"distiller";"distillation";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"129";"32h";"doubler";"doublage";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"130";"37e";"draguer";"dragage";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"131";"37e";"drainer";"drainage";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"132";"32r";"dresser";"dressage";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"133";"37m";"dynamiter";"dynamitage";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
