"<ID>";"N0 =: homme";"N0 =: femme";"<ENT>N";"Det pluriel obl";"A (Prép+E) B = B";"A (Prép+E) B = A";"N0 être Nagent";"élément dérivé";"suff-";"suff+";"verbe associé";"N0 jouer à Det N";"N0 jouer de Det N"
"313";"+";"+";"harpe-clavicorde";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"314";"+";"+";"harpe-guitare";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"315";"+";"+";"harpe-luth";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"316";"+";"+";"harpe-lyre";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"317";"+";"+";"hautbois";"-";"-";"-";"+";"-";"is";"ïste";"-";"-";"+"
"318";"+";"+";"hautbois baryton";"-";"+";"+";"+";"1";"is";"ïste";"-";"-";"+"
"319";"+";"+";"hautbois d'amour";"-";"-";"+";"+";"1";"is";"ïste";"-";"-";"+"
"320";"+";"+";"hautbois de chasse";"-";"-";"+";"+";"1";"is";"ïste";"-";"-";"+"
"321";"+";"+";"hélicon";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"322";"+";"+";"heptacorde";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"323";"+";"+";"hochet";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"324";"+";"+";"hochet-calebasse";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"325";"+";"-";"hors-bord";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326";"+";"-";"hors-bord de course";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"327";"+";"-";"hors-bord de sport";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"328";"+";"+";"hydraule";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"329";"+";"+";"hydrospeed";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330";"+";"+";"javelot";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"331";"+";"+";"jeu de timbre";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"332";"+";"-";"kart";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"333";"+";"-";"karting";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"334";"+";"+";"kayac";"-";"-";"-";"+";"-";"c";"kiste";"-";"-";"-"
"335";"+";"+";"kayac de course";"-";"-";"+";"+";"1";"c";"kiste";"-";"-";"-"
"336";"+";"+";"kayak";"-";"-";"-";"+";"-";"-";"iste";"-";"-";"-"
