"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"<ENT>N";"<ENT>Prép";"<ENT>Detc";"<ENT>Nc";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"N0 faire le N de V0-inf W";"de Nhum = à Nhum";"Exemple Autre1"
"41";"+";"-";"-";"course";"de";"<E>";"chevaux";"-";"+";"+";"-";"+";"-";"-";"~"
"42";"+";"-";"-";"course";"de";"<E>";"fond";"-";"+";"+";"+";"+";"-";"-";"~"
"43";"+";"-";"-";"course";"contre";"la";"montre";"la";"+";"+";"-";"+";"-";"-";"~"
"44";"+";"-";"-";"cure";"de";"<E>";"amaigrissement";"-";"+";"+";"-";"+";"-";"-";"~"
"45";"+";"-";"-";"cure";"de";"<E>";"désintoxication";"-";"+";"+";"-";"+";"-";"-";"~"
"46";"+";"-";"-";"cure";"de";"<E>";"rajeunissement";"-";"+";"+";"-";"+";"-";"-";"~"
"47";"+";"-";"-";"déclaration";"de";"<E>";"état-civil";"-";"+";"+";"-";"+";"-";"-";"~"
"48";"+";"-";"-";"déclaration";"de";"<E>";"faillite";"-";"+";"+";"-";"+";"-";"-";"~"
"49";"+";"-";"-";"déclaration";"de";"<E>";"principe";"-";"+";"+";"-";"+";"-";"-";"~"
"50";"+";"-";"-";"déclaration";"en";"<E>";"X";"-";"+";"+";"-";"+";"-";"-";"~"
"51";"+";"-";"-";"demi-tour";"à";"<E>";"droite";"<E>";"+";"+";"-";"+";"-";"-";"~"
"52";"+";"-";"-";"demi-tour";"à";"<E>";"gauche";"<E>";"+";"+";"-";"+";"-";"-";"~"
"53";"+";"-";"-";"désaveu";"de";"<E>";"paternité";"-";"+";"+";"-";"-";"-";"-";"~"
"54";"+";"-";"-";"descente";"à";"les";"Enfers";"la";"+";"+";"-";"+";"-";"-";"~"
"55";"+";"-";"-";"détournement";"de";"<E>";"avion";"-";"+";"+";"-";"+";"-";"-";"~"
"56";"+";"-";"-";"détournement";"de";"<E>";"mineur";"-";"+";"+";"-";"+";"-";"-";"~"
"57";"+";"-";"-";"détournemnt";"de";"<E>";"fonds";"-";"+";"+";"+";"+";"-";"-";"~"
"58";"+";"-";"-";"diner";"de";"<E>";"famille";"-";"+";"+";"-";"+";"-";"-";"~"
"59";"+";"-";"-";"diner";"de";"<E>";"noces";"-";"+";"+";"-";"+";"-";"-";"~"
"60";"+";"-";"-";"discours";"de";"<E>";"réception";"-";"+";"+";"-";"+";"-";"+";"~"
"61";"+";"-";"-";"discours";"de";"le";"trône";"le";"+";"+";"-";"+";"-";"+";"~"
"62";"+";"-";"-";"écart";"de";"<E>";"conduite";"-";"+";"+";"-";"+";"-";"-";"~"
"63";"+";"-";"-";"écart";"en";"<E>";"direction";"-";"+";"+";"-";"+";"-";"-";"~"
"64";"+";"-";"-";"écart";"de";"<E>";"jeunesse";"-";"+";"+";"-";"+";"+";"-";"~"
"65";"+";"-";"-";"écart";"de";"<E>";"langage";"-";"+";"+";"-";"+";"+";"-";"~"
"66";"+";"-";"-";"écart";"en";"<E>";"portée";"-";"+";"+";"-";"+";"-";"-";"~"
"67";"+";"-";"-";"économie";"de";"<E>";"bouts de chandelle";"-";"+";"+";"-";"+";"-";"-";"~"
"68";"+";"-";"-";"effet";"de";"<E>";"manche";"-";"+";"+";"-";"+";"-";"-";"~"
"69";"+";"-";"-";"effets";"de";"<E>";"bras";"-";"-";"-";"-";"+";"-";"-";"~"
"70";"+";"-";"-";"effets";"de";"<E>";"jambe";"-";"+";"+";"-";"+";"-";"-";"~"
"71";"+";"-";"-";"effets";"de";"<E>";"transparence";"-";"+";"+";"-";"+";"-";"-";"~"
"72";"+";"-";"-";"effets";"de";"<E>";"voix";"-";"-";"-";"-";"+";"-";"-";"~"
"73";"+";"-";"-";"effort";"de";"<E>";"attention";"-";"+";"+";"-";"+";"+";"-";"~"
"74";"-";"-";"-";"effort";"de";"<E>";"compréhension";"-";"+";"+";"-";"+";"+";"-";"~"
"75";"+";"-";"-";"effort";"de";"<E>";"mémoire";"-";"+";"+";"-";"+";"+";"-";"~"
"76";"+";"-";"-";"effort";"de";"<E>";"patience";"-";"+";"+";"-";"+";"+";"-";"~"
"77";"+";"-";"-";"emploi";"de";"le";"temps";"-";"+";"+";"-";"+";"-";"+";"~"
"78";"+";"-";"-";"enculage";"de";"<E>";"mouches";"-";"-";"+";"+";"-";"-";"-";"~"
"79";"+";"-";"-";"entorse";"à";"le";"règlement";"-";"+";"+";"-";"+";"-";"-";"Max a fait une entorse (au règlement+à la vérité)"
"80";"+";"-";"-";"équipée";"de";"<E>";"jeunesse";"-";"+";"+";"-";"+";"-";"-";"~"
"81";"+";"-";"-";"erreur";"de";"<E>";"appréciation";"-";"+";"+";"-";"+";"+";"-";"~"
"82";"+";"-";"-";"erreur";"de";"<E>";"jeunesse";"-";"+";"+";"-";"+";"+";"-";"~"
"83";"+";"-";"-";"essai";"sur";"<E>";"modèle";"-";"+";"+";"-";"+";"-";"-";"~"
"84";"+";"-";"-";"examen";"de";"<E>";"conscience";"-";"+";"+";"-";"+";"-";"-";"~"
"85";"+";"-";"-";"excès";"de";"<E>";"langage";"-";"+";"+";"-";"+";"+";"-";"~"
"86";"+";"-";"-";"excès";"de";"<E>";"pouvoir";"-";"+";"+";"-";"+";"+";"-";"~"
"87";"+";"-";"-";"excès";"de";"<E>";"table";"-";"-";"-";"-";"+";"-";"-";"~"
"88";"+";"-";"-";"exercice";"de";"<E>";"adresse";"-";"+";"+";"-";"+";"+";"-";"~"
"89";"+";"-";"-";"exercice";"de";"<E>";"assouplissement";"-";"+";"+";"-";"+";"+";"-";"~"
"90";"+";"-";"-";"exercice";"de";"<E>";"école";"-";"+";"+";"-";"+";"+";"-";"~"
"91";"+";"-";"-";"exercice";"de";"<E>";"force";"-";"+";"+";"-";"+";"+";"-";"~"
"92";"+";"-";"-";"exercice";"de";"<E>";"mémoire";"-";"+";"+";"-";"+";"+";"-";"~"
"93";"+";"-";"-";"exercice";"de";"<E>";"musculation";"-";"+";"+";"-";"+";"-";"-";"~"
"94";"+";"-";"-";"exercice";"de";"<E>";"souplesse";"-";"+";"+";"-";"+";"+";"-";"~"
"95";"+";"-";"-";"fait";"de";"<E>";"armes";"-";"+";"+";"-";"+";"+";"-";"~"
"96";"+";"-";"-";"faute";"de";"<E>";"attention";"-";"+";"+";"-";"+";"+";"-";"~"
"97";"+";"-";"-";"faute";"de";"<E>";"carre";"-";"+";"+";"-";"+";"-";"-";"~"
"98";"+";"-";"-";"faute";"de";"<E>";"conduite";"-";"+";"+";"-";"+";"-";"-";"~"
"99";"+";"-";"-";"faute";"de";"<E>";"français";"-";"+";"+";"-";"+";"+";"-";"~"
"100";"+";"-";"-";"faute";"de";"<E>";"goût";"-";"+";"+";"-";"+";"+";"-";"~"
"101";"+";"-";"-";"faute";"de";"<E>";"langue";"-";"+";"+";"-";"+";"+";"-";"~"
"102";"+";"-";"-";"faute";"de";"<E>";"orthographe";"-";"+";"+";"-";"+";"+";"-";"~"
"103";"+";"-";"-";"feu";"de";"<E>";"joie";"-";"+";"+";"-";"+";"-";"-";"~"
"104";"+";"-";"-";"film";"de";"<E>";"montage";"-";"+";"+";"+";"+";"-";"-";"~"
"105";"+";"-";"-";"flash";"de";"<E>";"information";"-";"+";"+";"-";"+";"-";"+";"~"
