"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: un";"N0 faire un N Prép N1 de (le+ce+son) N2";"N0 faire Det N Prép N1 de N2";"N0 faire un N";"Det =: des";"N0 faire des N";"Det =: du";"N0 faire du N";"Prép1 =: à";"Prép1 =: sur";"Prép1 =: dans";"Prép1 =: contre";"N1 =: Nhum";"N1 =: N-hum";"N0-hum faire Det N à N1";"GN =: le N de N0";"GN =: le N de N0 Prép N1";"GN =: le N de N1";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"52";"38r";"changer";"changement";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~";"Max fait (un changement dans le texte+
des changements dans son appartement)";"~";"~"
"53";"32c";"charcuter";"charcutage";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"54";"32cl";"chatouiller";"chatouille";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"~";"~";"~";"~"
"55";"37m";"ciseler";"ciselure";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"~";"~";"~";"~"
"56";"37m";"cloisonner";"cloisonnement";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"57";"37m";"cochonner";"cochonnerie";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"~";"~";"~";"~"
"58";"38l";"coffrer";"coffrage";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"~";"~";"~";"~"
"59";"37m";"coiffer";"coiffure";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"60";"37m";"colorier";"coloriage";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"~";"~";"~";"~"
"61";"38r";"conclure";"conclusion";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"~";"~";"~";"~"
"62";"32c";"contusionner";"contusion";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"63";"37m";"corner";"corne";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"64";"37e";"corriger";"correction";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"~";"~";"~";"~"
"65";"37m";"couper";"coupure";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"66";"32c";"courbaturer";"courbature";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"67";"36sl";"coudre";"couture";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"~";"~";"~";"~"
"68";"37m";"couvrir";"couverture";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"~";"~";"~";"~"
"69";"37m";"cranter";"cran";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"~";"~";"~";"~"
"70";"37m";"craqueler";"craquelure";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"71";"37m";"crayonner";"crayonnage";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"Max fait du crayonnage sur cette feuille";"~";"~";"~"
"72";"37m";"crépir";"crépi";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"~";"~";"~";"~"
"73";"37m";"creuser";"creux";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"74";"37m";"crevasser";"crevasse";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"~";"Le froid fait des crevasses dans le sol";"~";"~"
"75";"37m";"cuirasser";"cuirasse";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"~";"~";"~";"~"
"76";"37e";"cureter";"curetage";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"~";"~";"~";"~"
