"<ID>";"N0 =: homme";"N0 =: femme";"<ENT>N";"Det pluriel obl";"Det =: Poss0";"Det =: un-Modif, faire = pratiquer";"A (Prép+E) B = B";"A (Prép+E) B = A";"N0 être Nagent";"élément dérivé";"suff-";"suff+";"verbe associé";"N0 jouer à Det N";"N0 jouer de Det N"
"530";"+";"+";"tae-kwon-do";"-";"-";"+";"-";"-";"+";"3";"-";"ka";"-";"-";"-"
"531";"+";"+";"taekwon-do";"-";"-";"+";"-";"-";"+";"2";"-";"ka";"-";"-";"-"
"532";"+";"+";"taekwondo";"-";"-";"+";"-";"-";"+";"-";"-";"ka";"-";"-";"-"
"533";"+";"+";"taï-chi";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"534";"+";"+";"tai-chi-chuan";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"535";"+";"+";"taï-chi-chuan";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"536";"+";"+";"taï-jitsu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"537";"+";"+";"taï-ji-quan";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"538";"+";"+";"tài-ji-quàn";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"539";"+";"+";"taï-ki-kiuam";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"540";"+";"+";"taïjitsu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"541";"+";"+";"tambo";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"542";"+";"+";"tanto";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"543";"+";"-";"tauromachie";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"544";"+";"+";"technique administrative";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"545";"+";"+";"tessen";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"546";"+";"-";"tèque";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"547";"+";"+";"théologie";"-";"-";"+";"-";"-";"+";"-";"-";"n";"-";"+";"-"
"548";"+";"+";"théâtre";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"549";"+";"+";"théâtre ancien";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"550";"+";"+";"théâtre classique";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-"
"551";"+";"+";"théâtre contemporain";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-"
"552";"+";"+";"théâtre moderne";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-"
"553";"+";"+";"thèque";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"554";"+";"+";"tobogganing";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"555";"+";"+";"tonfa";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"556";"+";"+";"topographie";"-";"-";"+";"-";"-";"+";"-";"ie";"e";"-";"-";"-"
"557";"+";"+";"training";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"558";"+";"+";"trinquet";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"559";"+";"+";"trot";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-"
"560";"+";"+";"trot attelé";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-"
"561";"+";"+";"tumbling";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"562";"+";"+";"twirling-baton";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"563";"+";"+";"varappe";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"564";"+";"+";"viet-vo-dao";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"565";"+";"+";"vo-viet-nam";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"566";"+";"+";"voile sur glace";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"567";"+";"+";"voile-contact";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"568";"+";"+";"voiture de production";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"569";"+";"+";"vol à voile";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"570";"+";"+";"vovinam-viet-vo-dao";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"571";"+";"+";"windsurf";"-";"-";"+";"-";"-";"+";"-";"-";"eur";"-";"-";"-"
"572";"+";"+";"wu-shu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"573";"+";"+";"wushu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"574";"+";"+";"yachting lourd";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"575";"+";"+";"yari";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"576";"+";"+";"yawara";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"577";"+";"+";"yoga";"-";"-";"+";"-";"-";"+";"-";"a";"i";"-";"-";"-"
"578";"+";"+";"yoga royal";"-";"-";"+";"-";"+";"+";"1";"a";"i";"-";"-";"-"
"579";"+";"+";"yoseikan-budo";"-";"-";"+";"-";"-";"+";"2";"-";"ka";"-";"-";"-"
"580";"+";"+";"zoologie";"-";"-";"+";"-";"-";"+";"-";"e";"ste";"-";"-";"-"

