"<ID>";"<ENT>V";"suffixe -n";"Prép1 =: avec";"Prép1 =: contre";"Prép1 =: à";"N0 se V avec N1";"N0 V N1 avec N2";"N0 V (E+de) avec N1";"classe du verbe";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3"
"127";"jouter";"-";"+";"+";"-";"-";"-";"+";"35S";"~";"~";"~"
"128";"jumuler";"age";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"129";"juxtaposer";"ition";"+";"-";"+";"+";"+";"-";"36S";"~";"~";"~"
"130";"lier";"aison";"+";"-";"+";"+";"+";"-";"36S";"~";"~";"~"
"131";"lutter";"-";"+";"+";"-";"-";"-";"+";"35S";"~";"~";"~"
"132";"marchander";"age";"+";"-";"-";"-";"-";"+";"36DT";"~";"~";"~"
"133";"marier";"age";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"134";"marivauder";"age";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"135";"matcher";"-";"+";"+";"-";"+";"+";"-";"35S";"~";"~";"~"
"136";"mélanger";"-";"+";"-";"+";"+";"+";"-";"36S";"~";"~";"~"
"137";"mêler";"ée";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"138";"mixer";"ité";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"139";"mixer";"age";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"140";"négocier";"ation";"+";"-";"-";"+";"+";"-";"15";"~";"~";"~"
"141";"opposer";"é";"-";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"142";"opposer";"ition";"+";"+";"+";"+";"+";"-";"36S";"~";"~";"~"
"143";"ordonner";"-";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"144";"pactiser";"-";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"145";"palabrer";"-";"+";"-";"-";"-";"-";"+";"15";"~";"~";"~"
"146";"papoter";"age";"+";"-";"-";"-";"-";"+";"5";"~";"~";"~"
"147";"partager";"-";"+";"-";"-";"+";"+";"-";"38PL";"~";"~";"~"
"148";"permuter";"ation";"+";"-";"-";"+";"+";"+";"36S";"~";"~";"~"
"149";"polémiquer";"-";"+";"+";"-";"-";"-";"+";"31H";"~";"~";"~"
"150";"potiner";"age";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"151";"quereller";"-";"+";"+";"-";"+";"-";"-";"32H";"~";"~";"~"
"152";"raccommoder";"ment";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"153";"raccorder";"-";"+";"-";"+";"+";"+";"-";"36SL";"~";"~";"~"
"154";"raccorder";"ment";"+";"-";"+";"+";"+";"-";"36SL";"~";"~";"~"
"155";"ranger";"ée";"+";"-";"-";"+";"+";"-";"37E";"~";"~";"~"
"156";"ranger";"-";"+";"-";"-";"+";"+";"-";"37E";"~";"~";"~"
"157";"se rapporter";"-";"+";"-";"-";"+";"-";"-";"11";"~";"~";"~"
"158";"rapprocher";"ment";"+";"-";"-";"+";"+";"-";"36SL";"~";"~";"~"
"159";"rassembler";"ment";"+";"-";"-";"+";"+";"-";"12";"~";"~";"~"
"160";"rattacher";"ment";"+";"-";"+";"+";"+";"-";"16";"~";"~";"~"
"161";"régler";"-";"+";"-";"-";"+";"+";"-";"16";"~";"~";"~"
"162";"réunir";"ion";"+";"-";"-";"-";"+";"-";"36SL";"~";"~";"~"
"163";"rivaliser";"té";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"164";"rompre";"ure";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"165";"scinder";"sion";"+";"-";"-";"+";"+";"-";"38PL";"~";"~";"~"
"166";"séparer";"ation";"+";"-";"-";"+";"+";"-";"36SL";"~";"~";"~"
"167";"solidariser";"té";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"168";"souder";"ure";"+";"-";"-";"+";"+";"-";"36SL";"~";"~";"~"
"169";"superposer";"ition";"+";"-";"-";"+";"+";"-";"36SL";"~";"~";"~"
"170";"sympathiser";"e";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"171";"synchroniser";"ation";"+";"-";"+";"+";"+";"-";"36S";"~";"~";"~"
"172";"transiger";"ction";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"173";"troquer";"-";"+";"+";"-";"-";"-";"+";"38R";"~";"~";"~"
"174";"uniformiser";"té";"+";"-";"-";"+";"+";"-";"32RA";"~";"~";"~"
"175";"unir";"son";"-";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"176";"unir";"ion";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"177";"unir";"té";"+";"-";"-";"+";"+";"-";"36S";"~";"~";"~"
"178";"varier";"ation";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"179";"varier";"été";"+";"-";"-";"-";"-";"+";"35S";"~";"~";"~"
"180";"voisiner";"age";"+";"-";"-";"+";"-";"+";"35S";"~";"~";"~"

