"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"<ENT>N";"<ENT>Adj";"autre Det";"Adj permut obl";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"N0 faire le N de V0-inf W";"de Nhum = à Nhum"
"149";"+";"-";"-";"rubrique";"nécrologique";"-";"-";"+";"+";"+";"+";"-";"+"
"150";"+";"-";"-";"sacrifice";"humain";"-";"-";"+";"+";"-";"+";"-";"-"
"151";"+";"-";"-";"saisie";"immobilière";"-";"-";"+";"+";"+";"+";"-";"-"
"152";"+";"-";"-";"saut";"périlleux";"le";"-";"+";"+";"-";"+";"-";"-"
"153";"+";"-";"-";"saut";"triple";"le";"+";"+";"+";"+";"+";"-";"-"
"154";"+";"-";"-";"semaine";"anglaise";"la";"-";"-";"+";"-";"-";"-";"-"
"155";"+";"-";"-";"sens";"faux";"-";"+";"+";"+";"-";"+";"-";"-"
"156";"+";"-";"-";"service";"coupé";"-";"-";"+";"+";"-";"+";"-";"-"
"157";"+";"-";"-";"signes";"cabalistiques";"-";"-";"-";"-";"-";"+";"-";"-"
"158";"+";"-";"-";"sortie";"fausse";"-";"+";"+";"+";"-";"+";"-";"-"
"159";"+";"-";"-";"sport";"amateur";"-";"-";"+";"+";"+";"+";"-";"-"
"160";"+";"-";"-";"sport";"nautique";"-";"-";"+";"+";"-";"+";"-";"-"
"161";"+";"-";"-";"sport";"professionnel";"-";"-";"-";"-";"+";"-";"-";"-"
"162";"+";"-";"-";"tableau";"vivant";"-";"-";"+";"+";"-";"+";"-";"-"
"163";"+";"-";"-";"tapage";"nocturne";"-";"-";"-";"+";"+";"-";"-";"-"
"164";"+";"-";"-";"temps";"partiel";"-";"-";"+";"+";"+";"-";"-";"-"
"165";"+";"-";"-";"temps";"plein";"-";"+";"+";"-";"+";"-";"-";"-"
"166";"+";"-";"-";"temps";"tiers";"-";"+";"+";"+";"+";"-";"-";"-"
"167";"+";"-";"-";"tête";"drôle de";"-";"+";"+";"+";"-";"-";"-";"-"
"168";"+";"-";"-";"tête";"sale";"-";"+";"+";"+";"-";"-";"-";"-"
"169";"+";"-";"-";"toilette";"matinale";"Poss0";"-";"+";"+";"-";"-";"-";"-"
"170";"+";"-";"-";"traçage";"optique";"-";"-";"+";"+";"-";"+";"-";"-"
"171";"+";"-";"-";"travail";"domestique";"-";"-";"+";"+";"+";"+";"-";"-"
