"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: un-Modif";"N0 faire un N Modif";"N0 faire un N";"Det =: des";"N0 faire des N";"Det =: du";"N0 faire du N";"Det =: Artg =: le";"N0 faire le N";"N0 faire le N de V0-inf W";"N0 faire le N de V1-inf W à N1";"Det =: <E>";"N0 faire (bon+mauvais) N Prép N1";"N0 faire N de V1-inf W";"N1 =: N-hum";"Prép1 =: à";"Prép1 =: contre";"GN =: le N de N0 à N1";"GN =: les N de N0 à N1";"GN =: le N de N0 contre N1";"Exemple Base1";"Exemple Base2";"Exemple Autre1";
"64";"32cl";"peloter";"pelotage";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"~";"~";"~"
"65";"32h";"persécuter";"persécution";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"~";"~"
"66";"38lh";"poursuivre";"poursuite";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"67";"9";"prêcher";"prêche";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"~";"~";"~"
"68";"13";"prier";"prière";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"~";"~";"~"
"69";"4";"provoquer";"provocation";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"~";"~"
"70";"32h";"quereller";"querelle";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"71";"32h";"recevoir";"réception";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"~";"~";"~"
"72";"13";"remercier";"remerciement";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"73";"32r";"réprimer";"répression";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"~";"~"
"74";"12";"réprimander";"réprimande";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"~";"~";"~"
"75";"32h";"saluer";"salut";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"~";"~";"~"
"76";"13";"semoncer";"semonce";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"~";"~";"~"
"77";"13";"sermonner";"sermon";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"~";"~";"~"
"78";"35r";"sévir";"sévice";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"79";"32r";"suivre";"suite";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~"
"80";"13";"supplier";"supplication";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"~";"~";"~"
"81";"13";"taquiner";"taquinerie";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"82";"32h";"violenter";"violence";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"83";"32r";"visiter";"visite";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"~";"~";"~"

