"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"<ENT>N";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"N0 faire le N de V0-inf W";"de Nhum = à Nhum";"Exemple Base1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"223";"+";"-";"-";"ménage";"le";"-";"+";"+";"-";"-";"+";"~"
"224";"+";"-";"-";"ménages";"-";"-";"-";"-";"+";"-";"-";"~"
"225";"+";"+";"-";"merveilles";"-";"-";"-";"-";"+";"-";"-";"~"
"226";"+";"-";"-";"mi-temps";"-";"+";"+";"+";"-";"-";"-";"~"
"227";"+";"-";"-";"moisson";"la";"-";"+";"-";"-";"-";"+";"~"
"228";"+";"-";"-";"montage";"-";"+";"+";"+";"+";"-";"-";"~"
"229";"+";"-";"-";"moulinets";"-";"-";"-";"-";"+";"-";"-";"~"
"230";"+";"-";"-";"mouvement";"-";"+";"+";"-";"+";"-";"-";"~"
"231";"+";"-";"-";"multiplex";"-";"+";"+";"-";"+";"-";"-";"~"
"232";"+";"+";"-";"naufrage";"<E>";"-";"+";"-";"-";"-";"-";"~"
"233";"+";"-";"-";"néologisme";"-";"+";"+";"-";"+";"-";"-";"~"
"234";"+";"-";"-";"nettoyage-minute";"-";"+";"+";"-";"+";"-";"-";"~"
"235";"+";"-";"-";"neurasthénie";"-";"-";"+";"+";"-";"-";"-";"~"
"236";"+";"-";"-";"neuvaine";"-";"+";"+";"-";"+";"-";"-";"~"
"237";"+";"-";"-";"N-minute";"-";"+";"+";"-";"+";"-";"-";"~"
"238";"+";"-";"-";"nocturne";"-";"+";"+";"-";"+";"-";"-";"~"
"239";"+";"-";"-";"nouba";"la";"-";"+";"-";"-";"-";"-";"~"
"240";"+";"-";"-";"noviciat";"Poss0";"-";"+";"-";"-";"-";"-";"~"
"241";"+";"-";"-";"oeuvre";"-";"+";"+";"-";"-";"-";"-";"~"
"242";"+";"-";"-";"one-man-show";"-";"+";"+";"-";"+";"-";"-";"~"
"243";"+";"-";"-";"opéra";"-";"+";"+";"-";"+";"-";"-";"~"
"244";"+";"-";"-";"ouverture";"-";"+";"+";"-";"+";"-";"-";"~"
"245";"+";"-";"-";"palier";"-";"+";"+";"-";"+";"-";"-";"~"
"246";"+";"-";"-";"panier";"-";"+";"+";"-";"+";"-";"-";"~"
"247";"+";"-";"-";"pantalonnade";"-";"-";"-";"-";"+";"-";"-";"~"
"248";"+";"-";"-";"paperasse";"-";"-";"-";"+";"+";"-";"+";"~"
"249";"+";"-";"-";"paperasserie";"-";"-";"+";"+";"-";"-";"+";"~"
"250";"+";"+";"-";"parade";"Poss0";"+";"+";"-";"-";"-";"-";"~"
"251";"+";"-";"-";"parricide";"-";"+";"+";"-";"+";"-";"-";"~"
"252";"+";"-";"-";"passe";"-";"+";"+";"-";"+";"-";"-";"~"
"253";"+";"-";"-";"passing-shot";"-";"+";"+";"-";"+";"-";"-";"~"
"254";"+";"-";"-";"pastel";"-";"+";"+";"+";"+";"-";"-";"~"
"255";"+";"-";"-";"patenôtres";"Poss0";"-";"-";"-";"+";"-";"-";"~"
"256";"+";"-";"-";"pause";"la";"+";"+";"-";"+";"-";"-";"~"
"257";"+";"-";"-";"pause-café";"la";"+";"+";"-";"+";"-";"-";"~"
"258";"+";"-";"-";"pénitence";"<E>";"-";"+";"-";"-";"-";"-";"~"
"259";"+";"-";"-";"pensum";"-";"+";"+";"-";"+";"+";"+";"~"
"260";"+";"-";"-";"péréquation";"-";"+";"+";"-";"+";"-";"-";"~"
"261";"+";"-";"-";"performance";"-";"+";"+";"-";"+";"+";"-";"~"
"262";"+";"-";"-";"périphrase";"-";"+";"+";"-";"+";"-";"-";"~"
"263";"+";"-";"-";"permanence";"-";"+";"+";"+";"+";"-";"+";"~"
