"<ID>";"faire = accorder";"faire = adresser";"faire = avoir";"faire = effectuer";"faire = lancer";"faire = octroyer";"Det =: un";"Det =: des";"autre Det";"<ENT>N";"Det figé";"Prép1 =: à";"Prép1 =: de";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 se faire Det N";"GN =: le N de N0 à N1";"recevoir = avoir";"recevoir = essuyer";"recevoir = obtenir";"recevoir = faire l'objet de"
"133";"-";"+";"-";"+";"-";"-";"+";"-";"-";"relation verbale";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+"
"134";"+";"-";"-";"-";"-";"-";"+";"-";"-";"remise de peine";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-"
"135";"+";"-";"-";"-";"-";"-";"+";"-";"<E>";"réparation publique";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-"
"136";"-";"+";"-";"-";"-";"-";"+";"-";"-";"réponse affirmative";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+"
"137";"-";"+";"-";"-";"-";"-";"+";"-";"-";"réponse de Normand";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+"
"138";"-";"+";"-";"-";"-";"-";"+";"-";"-";"réponse négative";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+"
"139";"-";"+";"-";"-";"-";"-";"+";"-";"-";"réponse positive";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+"
"140";"+";"+";"-";"-";"-";"-";"-";"+";"-";"salves d'applaudissements";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-"
"141";"-";"+";"-";"-";"-";"-";"+";"-";"-";"serment de fidélité";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"142";"-";"+";"-";"-";"-";"-";"+";"-";"-";"serment politique";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"143";"-";"+";"-";"-";"-";"-";"+";"-";"-";"signe conventionnel";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"144";"-";"+";"-";"-";"-";"-";"+";"-";"-";"signe d'approbation";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"145";"-";"+";"-";"-";"-";"-";"+";"-";"-";"signe de dénégation";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"146";"-";"+";"-";"-";"-";"-";"+";"-";"-";"signe de la main";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"147";"-";"+";"-";"-";"-";"-";"+";"-";"-";"signe de tête";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"148";"-";"+";"-";"-";"-";"-";"+";"-";"-";"signe d'intelligence";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-"
"149";"-";"+";"-";"-";"+";"-";"-";"-";"-";"sommations d'usage";"les";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"150";"-";"+";"-";"-";"-";"-";"+";"-";"-";"sourire de complaisance";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-"
"151";"+";"-";"-";"-";"-";"+";"+";"-";"-";"succès d'estime";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-"
"152";"+";"-";"-";"-";"-";"+";"+";"-";"-";"tarif préférentiel";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+"
"153";"+";"-";"-";"-";"-";"-";"+";"-";"-";"traitement de faveur";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+"
"154";"-";"-";"-";"-";"-";"-";"+";"-";"-";"vaccin anti(maladie)";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
