"<ID>";"N0 =: N-hum";"donner = accorder";"donner = adresser";"donner = apporter";"donner = faire";"donner = passer";"donner = flanquer";"<ENT>N";"Det figé";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"Det =: le-Modif";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 se donner Det N";"GN =: le N de N0 à N1";"recevoir = avoir";"recevoir = encourir";"recevoir = essuyer";"recevoir = obtenir";"recevoir = percevoir";"recevoir = prendre";"recevoir = tenir";"recevoir = toucher";"Exemple Base1";"Exemple Autre1";"Exemple Autre2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"69";"-";"+";"-";"-";"-";"-";"-";"confiance";"Poss0";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"70";"-";"+";"-";"-";"-";"-";"-";"congé";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"71";"-";"-";"-";"-";"-";"-";"-";"connaissance";"<E>";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~"
"72";"-";"-";"+";"+";"-";"+";"-";"consigne";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"73";"+";"+";"-";"+";"-";"-";"-";"consolation";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"74";"-";"-";"+";"-";"+";"+";"+";"contravention";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"~";"~";"~"
"75";"-";"-";"+";"+";"-";"-";"-";"contravis";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"76";"-";"+";"-";"+";"-";"-";"+";"contredanse";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"~";"~";"~"
"77";"-";"-";"-";"-";"-";"-";"-";"contremarque";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~"
"78";"+";"+";"-";"+";"-";"-";"-";"contrepartie";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"~";"~";"~"
"79";"-";"-";"+";"+";"-";"-";"-";"contribution";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"~";"~";"~"
"80";"-";"-";"+";"+";"-";"+";"-";"contrordre";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"81";"-";"-";"-";"-";"-";"+";"-";"coordonnées";"-";"Poss0";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
