"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: (Qu P+V-inf W+V-n)";"N0 =: Dislocation";"<ENT>N";"Det =: <E>, Vsup =: avoir";"Det =: le, Vsup =: avoir";"Det =: un, Vsup =: avoir";"Det =: un-Modif, Vsup =: avoir";"Det =: des, Vsup =: avoir";"Det =: du, Vsup =: avoir";"Det =: le, Vsup =: perdre";"Det =: tout, Vsup =: perdre";"Det =: Poss0, Vsup =: perdre";"Prép1";"N1 =: ce Qu P";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: V0-inf W";"N1 =: Nhum";"N1 =: N-hum";"N0 être de Det N";"N0 être sans Det N";"il y avoir Det N Loc N0";"N0hum avoir le N de V0-inf W";"N0hum perdre Det N de V0-inf W";"N0-hum (avoir+perdre) le N de V0-inf W";"N1nr donner Det N à N0";"N1nr valoir Det N à N0";"N1 causer Det N à N0";"N1hum donner Det N à N0";"ADR";"Exemple Base1";"Exemple Autre1"
"68";"+";"-";"-";"-";"ennui";"-";"-";"+";"+";"+";"-";"-";"+";"+";"avec";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"Max a des ennuis";"~"
"69";"+";"-";"-";"-";"entêtement";"-";"-";"-";"+";"-";"+";"-";"+";"+";"à";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"70";"+";"-";"-";"-";"entêtement";"-";"-";"-";"+";"+";"+";"-";"+";"+";"contre";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"71";"-";"-";"-";"-";"espoir";"+";"+";"+";"+";"-";"-";"-";"+";"+";"de";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"Luc a de l'espoir (E+en Max+en l'avenir)";"~"
"72";"-";"-";"-";"-";"exaspération";"-";"-";"-";"+";"+";"+";"-";"+";"+";"contre";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"~";"~"
"73";"-";"-";"-";"-";"exaspération";"-";"-";"-";"+";"+";"+";"-";"+";"+";"devant";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"Max (a+éprouve) une certaine exaspération (E+devant ce spectacle)";"~"
"74";"+";"-";"-";"-";"excitation";"-";"-";"-";"+";"-";"+";"-";"+";"+";"devant";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"~";"~"
"75";"+";"+";"+";"-";"faculté";"-";"+";"-";"+";"-";"-";"+";"+";"+";"de";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"Max a la faculté de choisir";"~"
"76";"+";"-";"-";"-";"ferveur";"-";"-";"-";"+";"-";"+";"-";"+";"+";"à";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"77";"+";"-";"-";"-";"flair";"-";"+";"-";"+";"-";"+";"-";"+";"+";"pour";"-";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"Max a du flair pour les bonnes affaires";"~"
