"<ID>";"<ENT>N";"Det =: des";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: le";"Qu P être un N pour N0";"Qu P donner Det N à N0";"Vsup =: connaître";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4";"Exemple Autre5";"Exemple Autre6";"Exemple Autre7"
"190";"fortune";"+";"-";"+";"-";"-";"+";"-";"+";"~";"~";"~";"~";"~";"~";"~"
"191";"foucade";"+";"+";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"192";"foulée";"-";"-";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"193";"fou-rire";"+";"+";"+";"-";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"194";"foyer";"-";"+";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"195";"français";"-";"-";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"196";"frappe";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"197";"fréquentations";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"198";"fringale";"-";"-";"+";"-";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"199";"galère";"-";"-";"+";"-";"-";"+";"-";"+";"Max (a+connaît) une galère";"~";"~";"~";"~";"~";"~"
"200";"galon";"+";"+";"-";"+";"-";"-";"+";"-";"Max a (un galon+des galons)";"~";"~";"~";"~";"~";"~"
"201";"gauche";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"202";"gauche";"-";"-";"+";"-";"-";"-";"+";"-";"~";"Ce boxeur a (un+une) gauche (*E+redoutable)";"~";"~";"~";"~";"~"
"203";"généalogie";"-";"+";"+";"-";"-";"-";"-";"-";"~";"Max a une généalogie";"~";"~";"~";"~";"~"
