"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: le";"Det =: un-Modif";"N0 faire un N Modif de (le+ce+son) N1";"N0 faire un N Modif de N1";"Det =: un";"N0 faire un N";"Det =: des";"N0 faire des N";"N0 faire du N";"N1 =: Nhum";"N1 =: N-hum";"N0 faire Det N Prép N1 à N2";"N0 faire Det N à N2";"N0 se faire Det N de N1";"GN =: le N de N0";"GN =: le N de N0 à N2";"GN =: le N de N1";"Prép N1 =: Qu Pind";"Qu Pind = de V0-inf W";"Prép N1 =: de ce Qu Pind";"Prép N1 =: Qu Psubj";"Qu Psubj = de V0-inf W";"Qu Psubj = de V2-inf W";"Det N être fait W par N0";"Exemple Base1";"Exemple Base2";"Exemple Autre1";"Exemple Autre2";
"80";"9";"réclamer";"réclamation";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"81";"9";"recommander";"recommandation";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"~";"~";"~";"~"
"82";"6";"remarquer";"remarque";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"83";"6";"rencontrer";"rencontre";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"84";"6";"repérer";"repérage";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"85";"6";"répertorier";"répertoire";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"86";"9";"répliquer";"réplique";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"87";"9";"répondre";"réponse";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"88";"9";"reprocher";"reproche";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"~";"~";"~";"~"
"89";"9";"résumer";"résumé";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"90";"6";"rêver";"rêve";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"91";"9";"révéler";"révélation";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"92";"6";"sonder";"sondage";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"93";"9";"souhaiter";"souhait";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"+";"~";"~";"~";"~"
"94";"6";"souhaiter";"souhait";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"~";"~";"~";"~"
"95";"6";"spéculer";"spéculation";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"96";"9";"suggérer";"suggestion";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"~";"~";"~";"~"
"97";"6";"supposer";"supposition";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"98";"6";"supputer";"supputation";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"99";"6";"tester";"test";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"100";"6";"vérifier";"vérification";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"101";"6";"voter";"vote";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"102";"6";"vulgariser";"vulgarisation";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"

