"<ID>";"<ENT>N";"N0 =: Nhum";"N0 =: Ncoll";"Det =: un-de Dnum Nmes";"il y avoir Det N à N0";"il y avoir Det N Loc N0";"Vsup =: mettre";"Vsup =: faire";"Exemple Base1";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4"
"575";"terme";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~"
"576";"terminaison";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~"
"577";"terminus";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"578";"tête";"+";"-";"-";"+";"+";"-";"-";"~";"~";"~";"~";"~"
"579";"tête";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"580";"thème";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"581";"titre";"+";"-";"-";"+";"-";"+";"+";"~";"~";"~";"~";"~"
"582";"ton";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"583";"topique";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"584";"tournant";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"585";"tradition";"+";"+";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"586";"trafic";"+";"-";"+";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"587";"traînée";"+";"-";"+";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"588";"trait";"+";"-";"+";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"589";"trait";"+";"-";"-";"-";"+";"+";"-";"~";"~";"~";"~";"~"
"590";"trame";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"591";"trémolo";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"592";"trépidation";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"593";"trou";"+";"-";"+";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"594";"trou";"+";"-";"+";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"595";"trouée";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"596";"truc";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"597";"turbulences";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"598";"ubac";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"599";"unité";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"600";"unité";"-";"+";"+";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"601";"variable";"+";"-";"-";"-";"+";"+";"-";"~";"~";"~";"~";"~"
"602";"variété";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"603";"végétation";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"604";"vernis";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"605";"versant";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"606";"verset";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"607";"verso";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"608";"vibrato";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"609";"vocabulaire";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"610";"vocatif";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"611";"voie";"+";"-";"+";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"612";"voix";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"613";"voix";"+";"-";"-";"-";"+";"+";"-";"~";"~";"~";"~";"~"
"614";"volet";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"615";"voyelle";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"616";"vue";"+";"-";"+";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"617";"zone";"+";"-";"+";"-";"+";"-";"-";"~";"~";"~";"~";"~"

