"<ID>";"N0 =: le fait Qu P";"N0 =: la manière de V-inf W";"N0 =: V-n";"N0 =: N-hum";"<OPT>Adj";"<ENT>N";"N0 avoir Det N (avec+envers) N1";"N0 être de Det N (avec+envers) N1";"N0 être Adj (avec+envers) N1";"Det =: du";"Qu P être de Det N de la part de N0";"N0 être de Det N";"Exemple Base1";"Exemple Base2";"Exemple Base3";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3"
"154";"+";"+";"+";"-";"héroïque";"héroïsme";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"155";"-";"+";"+";"-";"hiératique";"hiératisme";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~";"~"
"156";"-";"+";"+";"-";"honnête";"honnêteté";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"157";"-";"+";"+";"-";"honorable";"honorabilité";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~";"~"
"158";"+";"+";"+";"-";"humaniste";"humanisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"159";"-";"+";"+";"-";"humain";"humanité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"160";"+";"+";"+";"-";"humble";"humilité";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"161";"+";"+";"+";"-";"humoristique";"humour";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"162";"+";"+";"+";"-";"hypocrite";"hypocrisie";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"163";"-";"+";"+";"-";"idiot";"idiotie";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"164";"+";"+";"+";"+";"ignominieux";"ignominie";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"165";"-";"+";"+";"-";"imbécile";"imbécillité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"166";"+";"+";"+";"+";"immoral";"immoralité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
