"<ID>";"N0 =: Nhum";"N0 =: N-hum";"<ENT>N";"<OPT>Adj";"N0 avoir Det N";"N0 avoir Det N Loc N1";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"Det =: le";"Adj = comme du N";"Adj =: Aug";"Exemple Base1";"Exemple Base2";"Exemple Base3";"Exemple Autre1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"124";"+";"-";"joue";"joufflu";"+";"-";"-";"-";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"125";"-";"+";"jus";"juteux";"+";"-";"-";"+";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"126";"-";"+";"kaolin";"kaolinique";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"127";"-";"+";"lacune";"lacunaire";"+";"-";"+";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"128";"-";"+";"laine";"laineux";"-";"+";"-";"+";"+";"-";"-";"+";"-";"~";"~";"~";"~"
"129";"-";"+";"lait";"lacté";"-";"+";"-";"+";"+";"-";"-";"+";"-";"~";"~";"~";"~"
"130";"-";"+";"lamelle";"lamelleux";"-";"+";"+";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"131";"-";"+";"lave";"lavique";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"132";"+";"+";"lèpre";"lépreux";"+";"-";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"133";"+";"-";"lettres";"lettré";"+";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"134";"+";"-";"leucémie";"leucémique";"+";"-";"+";"+";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"135";"-";"+";"lichen";"lichéneux";"-";"+";"-";"+";"+";"+";"-";"+";"-";"~";"~";"~";"~"
"136";"-";"+";"liège";"liégeux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"137";"-";"+";"limon";"limoneux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"138";"-";"+";"lippe";"lippu";"+";"-";"-";"-";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"139";"-";"+";"lobe";"lobé";"+";"-";"+";"+";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"140";"-";"+";"magnésie";"magnésique";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"141";"+";"-";"maladie";"malade";"+";"-";"-";"-";"+";"-";"-";"+";"+";"~";"~";"~";"~"
"142";"-";"+";"malandre";"malandreux";"+";"+";"+";"+";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"143";"+";"+";"mamelle";"mamelu";"+";"+";"+";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"144";"-";"+";"mamelon";"mamelonné";"+";"+";"+";"+";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"145";"-";"+";"manganèse";"manganeux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"146";"+";"-";"manie";"maniaque";"+";"-";"+";"+";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"147";"-";"+";"marécage";"marécageux";"-";"+";"+";"+";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"148";"-";"+";"marne";"marneux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"149";"-";"+";"mélodie";"mélodieux";"+";"-";"-";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~"
"150";"+";"+";"membre";"membru";"+";"+";"+";"+";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"151";"-";"+";"mercure";"mercureux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"152";"+";"+";"merde";"merdeux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"153";"-";"+";"métal";"métallifère";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"154";"-";"+";"miasmes";"miasmatique";"+";"-";"-";"+";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"155";"-";"+";"mica";"micacé";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"156";"+";"-";"migraines";"migraineux";"+";"-";"-";"+";"-";"+";"+";"-";"+";"~";"~";"~";"~"
"157";"+";"-";"milliard";"milliardaire";"+";"-";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"158";"+";"-";"million";"millionnaire";"+";"-";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"159";"-";"+";"mont";"montueux";"-";"+";"+";"-";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"160";"-";"+";"montagne";"montagneux";"-";"+";"+";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"161";"+";"-";"morve";"morveux";"+";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"162";"-";"+";"mousse";"moussu";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"163";"-";"+";"moustache";"moustachu";"+";"+";"+";"+";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"164";"-";"+";"mucilage";"mucilagineux";"-";"+";"-";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"165";"+";"-";"muscle";"musclé";"+";"+";"-";"+";"+";"+";"-";"-";"+";"~";"~";"~";"~"
"166";"+";"-";"myopie";"myope";"+";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"167";"+";"-";"nausée";"nauséeux";"+";"-";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~";"~"
"168";"-";"+";"neige";"neigeux";"-";"+";"-";"+";"+";"-";"-";"+";"-";"~";"~";"~";"~"
"169";"-";"+";"nervure";"nervuré";"+";"+";"+";"+";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"170";"+";"-";"neurasthénie";"neurasthénique";"+";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"171";"+";"-";"névrose";"névrotique";"+";"-";"+";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"172";"-";"+";"nickel";"nickélifère";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"173";"-";"+";"nitre";"nitreux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"174";"-";"+";"nodule";"noduleux";"+";"+";"+";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"175";"-";"+";"noeud";"noueux";"+";"+";"+";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"176";"-";"+";"nuage";"nuageux";"-";"+";"+";"+";"-";"+";"-";"+";"+";"~";"~";"~";"~"
"177";"-";"+";"ocelle";"ocellé";"+";"+";"+";"+";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"178";"-";"+";"odeur";"odorant";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"179";"-";"+";"ombrage";"ombragé";"-";"+";"-";"+";"+";"+";"-";"-";"-";"~";"~";"~";"~"
"180";"-";"+";"ombre";"ombreux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"181";"+";"-";"ongle";"onglé";"+";"+";"+";"+";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"182";"-";"+";"or";"aurifère";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"183";"+";"-";"os";"ossu";"+";"+";"+";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"184";"-";"+";"paille";"pailleux";"+";"+";"+";"+";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"185";"-";"+";"paille";"pailleux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"186";"+";"-";"panse";"pansu";"+";"-";"-";"+";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"187";"-";"+";"papille";"papilleux";"+";"+";"+";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"188";"+";"-";"paralysie";"paralytique";"+";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"189";"+";"-";"paranoïa";"paranoïaque";"+";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"190";"+";"-";"paraplégie";"paraplégique";"+";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"191";"-";"+";"partie";"partite";"+";"-";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"192";"+";"-";"patrie";"patride";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"193";"+";"-";"patte";"pattu";"+";"-";"+";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"194";"+";"-";"pellagre";"pellagreux";"+";"+";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"195";"+";"-";"pellicule";"pelliculeux";"+";"+";"+";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"196";"+";"-";"perversion";"pervers";"+";"-";"+";"+";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"197";"+";"-";"peste";"pestiféré";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"198";"-";"+";"pétrole";"pétrolifère";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
