"<ID>";"<ENT>N";"<OPT>V";"faire = procéder à";"Det =: un";"Det =: un-Modif";"Prép1 =: à";"Prép1 =: de";"Prép1 =: contre";"Prép1 =: sur";"N0 faire un N à N1";"N0 faire un N de N1";"N0 faire un N contre N1";"N0 faire un N sur N1";"N0 faire un N Modif à N1";"N0 faire un N Modif de N1";"N0 faire un N Modif contre N1";"N0 faire un N Modif sur N1";"N0 faire le N de N1";"N1 =: Nhum";"N1 =: N-hum";"subir = (être+faire) l'objet de";"Exemple Base1";"Exemple Base2"
"501";"ébauchage";"ébaucher";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"502";"éborgnage";"éborgner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"Le jardinier fait l'éborgnage de l'arbre";"~"
"503";"ébouillantage";"ébouillanter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Léa fait l'ébouillantage des légumes";"~"
"504";"ébourgeonnage";"ébourgeonner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"Le jardinier a fait l'ébourgeonnage des poiriers";"~"
"505";"écaillage";"écailler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"Max fait l'écaillage (des huîtres+du poisson)";"~"
"506";"échardonnage";"échardonner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"507";"écharnage";"écharner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"508";"échelonnement";"échelonner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"509";"échenillage";"écheniller";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"510";"écimage";"écimer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"511";"éclaircissage";"éclaircir";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"512";"éclusage";"écluser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"513";"écorçage";"écorcer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"514";"écossage";"écosser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"515";"écouvillonnage";"écouvillonner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"516";"écrabouillage";"écrabouiller";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"517";"écrémage";"écrémer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"518";"écrêtement";"écrêter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"519";"écrouissage";"écrouir";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"520";"écumage";"écumer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"521";"écussonnage";"écussonner";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"522";"édulcoration";"édulcorer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"523";"effeuillage";"effeuiller";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"524";"effilage";"effiler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"525";"égermage";"égermer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"526";"égouttage";"égoutter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"527";"égouttement";"égoutter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"Max fait l'égouttement des fromages";"~"
"528";"égrainage";"égrainer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"529";"égrappage";"égrapper";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait l'égrappage du raisin";"~"
"530";"égrenage";"égrener";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"531";"égrisage";"égriser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"532";"élagage";"élaguer";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"533";"élargissement";"élargir";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"Max a fait l'élargissement de la route";"~"
"534";"électrisation";"électriser";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"~";"~"
"535";"électrocoagulation";"électrocoaguler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"536";"élévation";"élever";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"~";"~"
"537";"élision";"élider";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait l'élision de e";"~"
"538";"émaillage";"émailler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"539";"émasculation";"émasculer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"540";"embattage";"embattre";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"541";"embaumement";"embaumer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"~";"~"
"542";"embellissement";"embellir";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"~";"~"
"543";"emblavage";"emblaver";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"544";"emboîtage";"emboîter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"545";"emboîtement";"emboîter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"546";"emboutissage";"emboutir";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"547";"embrigadement";"embrigader";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"~";"~"
"548";"emmaillotement";"emmailloter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"549";"émondage";"émonder";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"550";"émorfilage";"émorfiler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"551";"émottage";"émotter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"552";"émoulage";"émouler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"553";"empaillage";"empailler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"554";"empaquetage";"empaqueter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"555";"empesage";"empeser";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"556";"empiètement";"empiéter";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"~";"~"
"557";"empilement";"empiler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"558";"empotage";"empoter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"559";"empotement";"empoter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"560";"encartage";"encarter";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"~";"~"
"561";"encaustiquage";"encaustiquer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"562";"enchemisage";"enchemiser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"563";"enclouage";"enclouer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"564";"encodage";"encoder";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"565";"encollage";"encoller";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"566";"encrage";"encrer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"567";"encuvage";"encuver";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"568";"endigage";"endiguer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"569";"enfleurage";"enfleurer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"570";"enfournage";"enfourner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"571";"enfumage";"enfumer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"572";"engluage";"engluer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"Max a fait l'engluage de la branche";"~"
"573";"engommage";"engommer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"Max fait l'engommage du tissu";"~"
"574";"engraissement";"engraisser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"575";"enlevage";"enlever";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"576";"enlèvement";"enlever";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"Max a fait l'enlèvement du ministre";"~"
"577";"enquête";"enquêter";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"Max fait une enquête sur cette affaire";"~"
"578";"enregistrement";"enregistrer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"579";"enrichissement";"enrichir";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"580";"enrôlement";"enrôler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"~";"~"
"581";"ensemencement";"ensemencer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"582";"ensilage";"ensiler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait l'ensilage du blé";"~"
"583";"entaillage";"entailler";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"Max fait l'entaillage de la poutre";"~"
"584";"entoilage";"entoiler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait l'entoilage de la veste";"~"
"585";"entonnage";"entonner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Paul a fait l'entonnage du vin";"~"
"586";"énucléation";"énucléer";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"Max fait l'énucléation du fruit";"~"
"587";"épamprage";"épamprer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"588";"épandage";"épandre";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"589";"épierrage";"épierrer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"590";"épilage";"épiler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"591";"épilation";"épiler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"592";"épinçage";"épincer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"Max fait l'épinçage des pavés";"~"
"593";"épincetage";"épinceter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"594";"épluchage";"éplucher";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait l'épluchage des fruits";"~"
"595";"épointage";"épointer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"596";"épongeage";"éponger";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"597";"épouillage";"épouiller";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"598";"époussetage";"épousseter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"Max fait l'époussetage des meubles";"~"
"599";"épuçage";"épucer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"Max fait l'épuçage du chien";"~"
"600";"épuration";"épurer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"Max fait (une épuration dans le parti+l'épuration du parti)";"~"
"601";"équarrissage";"équarrir";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"max fait l'équarrissage de le planche";"~"
"602";"équilibrage";"équilibrer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait l'équilibrage (de la balance+des ranges)";"~"
"603";"éradication";"éradiquer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"604";"éreintage";"éreinter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"Max a fait l'éreintage de cet auteur";"~"
"605";"éreintement";"éreinter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"Max a fait l'éreintement de cet auteur";"~"
"606";"escamotage";"escamoter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"Max fait l'escamotage des cartes";"~"
"607";"espionnage";"espionner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"Max fait un espionnage sérieux des allés et revus de Léa";"~"
"608";"essorage";"essorer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait l'essorage du linge";"~"
"609";"essuyage";"essuyer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"Max fait l'essuyage des verres";"~"
"610";"estampillage";"estampiller";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"Max fait l'estampillage de cette marchandise";"~"
"611";"estimation";"estimer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max a fait l'estimation (de cet objet (E+à 200 francs)+du nombre des habitants)";"~"
"612";"estivage";"estiver";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"613";"estompage";"estomper";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"614";"étalement";"étaler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max a fait l'étalement des papiers sur la table";"~"
"615";"étamage";"étamer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait l'étamage de la cabriole";"~"
"616";"étampage";"étamper";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max a fait l'estampage de la forme";"~"
"617";"étayage";"étayer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"618";"étendage";"étendre";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait l'étendage du linge";"~"
"619";"étêtage";"étêter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"Max fait l'étêtage (des arbres+des sardines)";"~"
"620";"étêtement";"étêter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"621";"éthérisation";"éthériser";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"622";"étincelage";"étinceler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"623";"étiquetage";"étiqueter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait l'étiquetage des bocaux";"~"
"624";"étirage";"étirer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait l'étirage (des métaux+du coton)";"~"
"625";"étouffage";"étouffer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"626";"étripage";"étriper";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait l'étripage des animaux";"~"
"627";"étuvage";"étuver";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"Max fait l'étuvage des peaux";"~"
"628";"étuvement";"étuver";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"629";"évaluation";"évaluer";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"Max fait l'évaluation de la distance";"~"
"630";"évasement";"évaser";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"631";"éviction";"évincer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"Max procède à l'éviction des locataires";"~"
"632";"évidage";"évider";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"633";"évidement";"évider";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"634";"évincement";"évincer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"635";"éviscération";"éviscérer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"636";"examen";"examiner";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"Max fait un examen de ce tissu";"~"
"637";"excision";"exciser";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"Max pratique l'excision sur Léa";"~"
"638";"excitation";"exciter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"Max procède à l'excitation de ce cerf";"~"
"639";"exfoliation";"exfolier";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"Cet arbre (subit+connaît) une rapide exfoliation"
"640";"exhérédation";"exhéréder";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"Max (fait+décide) l'exhérédation de ses héritiers";"~"
"641";"exonération";"exonérer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"On a (donné+accordé) à Max une exonération (d'impôts+de droits)";"~"
"642";"expérimentation";"expérimenter";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"Max fait l'expérimentation de ce produit sur un tissu";"~"
"643";"expertise";"expertiser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait une expertise (du dommage+de ce tableau)";"~"
"644";"explicitation";"expliciter";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"645";"exploration";"explorer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait l'exploration de ma grotte";"~"
"646";"exportation";"exporter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait l'exportation de lits en fer en France";"~"
"647";"expurgation";"expurger";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"648";"extermination";"exterminer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"Max procède à l'extermination des poux";"~"
"649";"extirpation";"extirper";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait l'extirpation (de la dent+des préjugés de son époque)";"~"
"650";"extorsion";"extorquer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"Max a fait une extorsion d'argent à Léa";"~"
"651";"extraction";"extraire";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait l'extraction de la dent";"~"
"652";"extradition";"extrader";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"La piscine a prononcé l'extradition de Bob";"~"
"653";"façonnage";"façonner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"(Max+Cette machine) fait le façonnage des cylindres";"~"
"654";"facturation";"facturer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait la facturation de cet article à Léa";"~"
"655";"faisandage";"faisander";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"656";"fanage";"faner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"657";"fardage";"farder";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"658";"fartage";"farter";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"Max fait le fartage des skis";"~"
"659";"faufilage";"faufiler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"660";"fendage";"fendre";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"661";"ferrage";"ferrer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait le ferrage du cheval";"~"
"662";"fertilisation";"fertiliser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"Max procède à la fertilisation du champs";"~"
