"<ID>";"<ENT>N";"<OPT>V";"faire = procéder à";"Det =: un";"Det =: un-Modif";"Prép1 =: à";"Prép1 =: de";"Prép1 =: contre";"Prép1 =: sur";"N0 faire un N à N1";"N0 faire un N de N1";"N0 faire un N contre N1";"N0 faire un N sur N1";"N0 faire un N Modif à N1";"N0 faire un N Modif de N1";"N0 faire un N Modif contre N1";"N0 faire un N Modif sur N1";"N0 faire le N de N1";"N1 =: Nhum";"N1 =: N-hum";"subir = (être+faire) l'objet de";"Exemple Base1";"Exemple Base2"
"81";"axiomatisation";"axiomatiser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"82";"azurage";"azurer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"83";"badigeonnage";"badigeonner";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"~";"~"
"84";"baguage";"baguer";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"85";"balayage";"balayer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"86";"balisage";"baliser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"87";"ballastage";"ballaster";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"88";"bandage";"bander";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"89";"barattage";"baratter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"90";"barbouillage";"barbouiller";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"~";"~"
"91";"bardage";"barder";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"92";"bariolage";"barioler";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"~";"~"
"93";"battage";"battre";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"94";"berginisation";"berginiser";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"~";"~"
