"<ID>";"Det =: du";"Det =: des";"Det =: un-Modif";"Det =: un-de Dnum Nmes";"N0 être Adj de Dnum Nmes";"<OPT>Adj";"<ENT>N";"Exemple Base1";"Exemple Base2";"Exemple Base3";"Exemple Autre1"
"48";"+";"-";"+";"-";"-";"dur";"dureté";"L'eau a une certaine dureté";"~";"~";"~"
"49";"+";"-";"+";"+";"-";"élastique";"élasticité";"Le tissu a une certaine élasticité";"~";"~";"~"
"50";"+";"-";"+";"-";"-";"électrique";"électricité";"Ce tissu a de l'électricité";"~";"~";"~"
"51";"-";"-";"+";"+";"+";"élevé";"élévation";"~";"~";"~";"~"
"52";"+";"-";"+";"+";"+";"épais";"épaisseur";"Ce papier a une certaine épaisseur (E+de 5 cm)";"~";"~";"~"
"53";"+";"-";"+";"-";"-";"épais";"épaisseur";"~";"~";"~";"~"
"54";"-";"-";"+";"-";"-";"étanche";"étanchéité";"Ce vêtement a une bonne étanchéité (E+à la pluie)";"~";"~";"~"
"55";"-";"-";"+";"-";"-";"étroit";"étroitesse";"La pensée de Max a une certaine étroitesse";"~";"~";"~"
"56";"-";"-";"+";"-";"-";"euphorique";"euphorie";"Max a une certaine euphorie";"~";"~";"~"
"57";"-";"-";"+";"-";"-";"exhaustif";"exhaustivité";"Ce travail (a+présente) une exhaustivité certaine";"~";"~";"~"
"58";"-";"-";"+";"-";"-";"exigu";"exiguïté";"Cette pièce a une certaine exiguïté";"~";"~";"~"
"59";"-";"-";"+";"-";"-";"expansible";"expansibilité";"~";"~";"~";"~"
"60";"-";"-";"+";"-";"-";"extérieur";"extériorité";"La source des images a une extériorité certaine";"~";"~";"~"
"61";"+";"-";"+";"-";"-";"fade";"fadeur";"Ce texte a une certaine fadeur";"~";"~";"~"
"62";"-";"-";"+";"-";"+";"faux";"fausseté";"Cette voix a une fausseté certaine";"~";"~";"~"
"63";"-";"-";"+";"-";"-";"féerique";"féerie";"Ce spectacle a une féerie certaine";"~";"~";"~"
"64";"+";"-";"+";"-";"-";"ferme";"fermeté";"Ce fruit a une certaine fermeté";"~";"~";"~"
"65";"-";"-";"+";"-";"-";"fertile";"fertilité";"L'imagination de Max a une grand fertilité";"~";"~";"~"
"66";"-";"-";"+";"-";"-";"fétide";"fétidité";"Cette odeur a une certaine fétidité";"~";"~";"~"
"67";"+";"-";"+";"-";"-";"fin";"finesse";"Ce tissu a une certaine finesse";"~";"~";"~"
