"<ID>";"<ENT>N";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"N0 faire le N de V0-inf W";"N0hum faire Det N à N1hum sur ce point";"Exemple Autre1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"221";"serment";"-";"+";"+";"-";"-";"-";"+";"~"
"222";"signal";"-";"+";"+";"-";"+";"-";"-";"~"
"223";"signe";"<E>";"+";"+";"-";"+";"+";"-";"~"
"224";"simagrées";"-";"-";"-";"-";"+";"-";"-";"~"
"225";"singeries";"-";"-";"-";"-";"+";"-";"-";"~"
"226";"sketch";"-";"-";"+";"-";"-";"-";"+";"~"
"227";"sommation";"-";"+";"+";"-";"+";"-";"+";"~"
"228";"sortie";"-";"+";"+";"-";"+";"-";"+";"~"
"229";"sous-entendu";"-";"+";"+";"-";"+";"-";"+";"~"
"230";"speech";"-";"+";"+";"-";"+";"-";"+";"~"
"231";"suçon";"-";"+";"+";"-";"-";"-";"-";"~"
"232";"supercherie";"-";"+";"+";"-";"+";"+";"-";"~"
"233";"surprise";"-";"+";"+";"-";"-";"+";"-";"~"
"234";"tendresses";"-";"-";"-";"-";"+";"-";"-";"~"
"235";"théâtre";"-";"-";"+";"+";"-";"-";"-";"~"
"236";"tirade";"-";"+";"+";"-";"+";"-";"+";"~"
"237";"topo";"-";"+";"+";"-";"+";"-";"+";"~"
"238";"tour";"-";"+";"+";"-";"+";"+";"-";"~"
"239";"tracasseries";"-";"-";"-";"-";"+";"-";"-";"~"
"240";"vacherie";"-";"+";"+";"-";"+";"+";"-";"~"
"241";"versement";"-";"+";"+";"-";"+";"-";"+";"~"
"242";"violence";"<E>";"-";"+";"-";"-";"+";"-";"~"
"243";"violences";"-";"-";"-";"-";"+";"-";"-";"~"
"244";"virement";"-";"+";"+";"-";"+";"-";"+";"~"
"245";"visite-éclair";"-";"+";"+";"-";"+";"-";"-";"~"
"246";"vivats";"-";"-";"-";"-";"+";"-";"-";"~"

