"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"Vsup =: avoir";"Vsup =: avoir eu";"Det =: des";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: <E>";"Det =: le";"Det =: les";"le N de N0 =: son";"N0 Vsup Det N de Nc sur N1";"Det =: un-de Dnum Nmes";"<ENT>N";"N0 Vsup Det N";"N1 =: Nhum";"N1 =: N-hum";"N1 =: N0";"N1 =: la façon de V-inf W";"N1 =: le fait Qu P";"N1 =: ce(ci+la)";"N1 =: la dessus";"N0 V son N sur N1";"Prép1 =: dans";"Exemple Base1";"Exemple Autre1"
"57";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"explication";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"Max donne des explications sur ce retard";"~"
"58";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"fixation";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"Max (a+fait) une fixation sur Léa";"~"
"59";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"gain";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"~";"~"
"60";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"gain de cause";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"~";"~"
"61";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"garantie";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~"
"62";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"hypothèque";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"~";"~"
"63";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"hypothèse";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"~";"~"
"64";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"idée";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~"
"65";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"impact";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"~";"~"
"66";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"impôt";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"~";"~"
"67";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"incidence";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"68";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"indication";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~"
"69";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"influence";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"~";"~"
"70";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"information";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~"
"71";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"interrogatoire";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~"
"72";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"irradiation";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"~";"~"
"73";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"main haute";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"~";"~"
"74";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"mainmise";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"~";"~"
"75";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"miroitement";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"~";"~"
"76";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"oeil";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~"
"77";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"opinion";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~"
"78";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"option";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"~";"~"
"79";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"optique";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~"
"80";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"pensée";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~"
"81";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"perspective";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"~";"~"
"82";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"philosophie";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"~";"~"
"83";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"pignon";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"84";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"poids";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"~";"~"
"85";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"poigne";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"~";"~"
"86";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"point d'interrogation";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~"
"87";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"point de vue";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~"
"88";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"postériorité";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"~";"~"
"89";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"pourcentage";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"~";"~"
"90";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"pouvoir";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"~";"~"
"91";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"prédominance";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"~";"~"
"92";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"préjugé";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~"
"93";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"prépondérance";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"~";"~"
"94";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"prérogative";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
