"<ID>";"N0 =: homme";"N0 =: femme";"<ENT>N";"Det pluriel obl";"Det =: un, faire = fabriquer";"A (Prép+E) B = B";"A (Prép+E) B = A";"N0 être Nagent";"élément dérivé";"suff-";"suff+";"verbe associé";"N0 jouer à Det N";"N0 jouer de Det N"
"53";"+";"+";"course de slalom";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"54";"+";"-";"course de survie";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"55";"+";"+";"course de traîneaux";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"56";"+";"+";"course de trot";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"57";"+";"+";"course de vitesse";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"58";"+";"+";"course d'obstacles";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"59";"+";"+";"course d'orientation";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"60";"+";"+";"course moto";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"61";"+";"+";"course poursuite";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"62";"+";"+";"course sur anneau";"-";"-";"-";"-";"+";"1";"se";"eur";"+";"-";"-"
"63";"+";"+";"course sur anneau de vitesse";"-";"-";"-";"-";"+";"1";"se";"eur";"+";"-";"-"
"64";"+";"+";"course sur piste";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"65";"+";"+";"course sur route";"-";"-";"-";"+";"+";"1";"se";"eur";"+";"-";"-"
"66";"+";"+";"cricket";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"67";"+";"+";"cricket britannique";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-"
"68";"+";"+";"critérium";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"69";"+";"+";"croquet";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"70";"+";"+";"cross";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"71";"+";"-";"cross amphibie";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"72";"+";"+";"cross à ski";"-";"-";"-";"+";"+";"2";"-";"eur";"-";"-";"-"
"73";"+";"+";"cross country";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"74";"+";"+";"cyclathlon";"-";"-";"-";"-";"+";"-";"-";"ien";"-";"-";"-"
"75";"+";"+";"cycle-ball";"-";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"-"
"76";"+";"+";"cycle-balle";"-";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"-"
"77";"+";"+";"cyclo-cross";"-";"-";"+";"-";"+";"1";"o";"iste";"-";"-";"-"
"78";"+";"+";"danse";"-";"-";"-";"-";"+";"-";"-";"ur";"+";"-";"-"
